"Default Unit of Measure","Item Code","Item Group","Item Name","Barcode","Brand","Standard Selling Rate","Company (Item Defaults)","Default Warehouse (Item Defaults)"
"Nos","MODIZ-SOX-001","Socks","Modiz Socks SOX-001","6972449287417","MODIZ",5.50,"ZEROMAX IMPEX","Stores - ZIX"
"Nos","JEANS-PANT-001","Socks","JEANS PANT","","MODIZ",4,"ZEROMAX IMPEX","Stores - ZIX"
