"Item Code","Item Group","Default Unit of Measure","Allow Purchase","Standard Selling Rate","Valuation Rate","Barcode","Allow Sales","Item Name","Maintain Stock","Use Serial No","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"OP-ACE2-BLK","TWS","Nos",1,55.0,0.0,"6932169360593",1,"Oneplus Buds Ace 2 Black",1,1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"OP-ACE2-GRN","TWS","Nos",1,55.0,0.0,"6932169360586",1,"Oneplus Buds Ace 2 Green",1,1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"






