Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
BOAT-BH-225-BLK,Headphone,Nos,boAt Bassheads 225 Black,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,10
BOAT-BH-225-WHI,Headphone,Nos,boAt Bassheads 225/220 White,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,10
BOAT-BH-225-LME,Headphone,Nos,boAt Bassheads 225 Lime,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,10
BOAT-BH-225-ORA,Headphone,Nos,boAt Bassheads 225 Orange,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,10
BOAT-BH-225-BLU,Headphone,Nos,boAt Bassheads 225 Blu,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,10
