Item Code,Item Name
SDSQXAO-064G-GN3ZN,"SanDisk and Nintendo Cobranded microSDXC SQXAO, 64GB, U3, C10, UHS-1, 100MB/s R, 90MB/s W, 3x5, Lifetime Limited"
SDSQXAO-128G-GN3ZN,"SanDisk and Nintendo Cobranded microSDXC, SQXAO, 128GB, U3, C10, UHS-1, 100MB/s R, 90MB/s W, 3x5, Lifetime Limited"
SDSQXAO-256G-GN3ZN,"SanDisk and Nintendo Cobranded microSDXC, SQXAO, 256GB, U3, C10, UHS-1, 100MB/s R, 90MB/s W, 3x5, Lifetime Limited"
SDSQXAO-512G-GN3ZN,"SanDisk and Nintendo Cobranded microSDXC, SQXAO, 512GB, U3, C10, UHS-1, 100MB/s R, 90MB/s W, 3x5, Lifetime Limited"
SDSQXAO-128G-GN3ZY,"SanDisk, Nintendo and EA Apex Legends Cobranded microSDXC, SQXAO, 128GB, U3, C10, UHS-1, 100MB/s R, 90MB/s W, 3x5, Lifetime Limited"
SDSQXCG-032G-GN6MA,"SanDisk Extreme Pro microSDHC, SQXCG 32GB, V30, U3, C10, A1, UHS-1, 100MB/s R, 90MB/s W, 4x6, SD adaptor, Lifetime Limited"
SDSQXCU-064G-GN6MA,"SanDisk Extreme Pro microSDXC, SQXCU 64GB, V30, U3, C10, A2, UHS-I, 200MB/s R, 90MB/s W, 4x6, SD adaptor, Lifetime Limited"
SDSQXCD-128G-GN6MA,"SanDisk Extreme Pro microSDXC, SQXCD 128GB, V30, U3, C10, A2, UHS-I, 200MB/s R, 90MB/s W, 4x6, SD adaptor, Lifetime Limited"
SDSQXCD-256G-GN6MA,"SanDisk Extreme Pro microSDXC, SQXCD 256GB, V30, U3, C10, A2, UHS-I, 200MB/s R, 140MB/s W, 4x6, SD adaptor, Lifetime Limited"
SDSQXCD-512G-GN6MA,"SanDisk Extreme Pro microSDXC, SQXCD 512GB, V30, U3, C10, A2, UHS-I, 200MB/s R, 140MB/s W, 4x6, SD adaptor, Lifetime Limited"
SDSQXCD-1T00-GN6MA,"SanDisk Extreme Pro microSDXC, SQXCD 1TB, V30, U3, C10, A2, UHS-I, 200MB/s R, 140MB/s W, 4x6, SD adaptor, Lifetime Limited"
SDSDUNR-032G-GN3IN,"SanDisk Ultra SDHC, SDUNR 32GB, C10, UHS-I, 100MB/s R, 3x5, 7Y"
SDSDUNR-064G-GN3IN,"SanDisk Ultra SDXC, SDUNR 64GB, C10, UHS-I, 100MB/s R, 3x5, 7Y"
