Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
JBL-GO4-BLK,"Bluetooth Speaker",Nos,JBL GO4 BLACK,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-WHI,Bluetooth Speaker,Nos,JBL GO4 WHITE,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-BLU,Bluetooth Speaker,Nos,JBL GO4 BLU,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-BLKO,Bluetooth Speaker,Nos,JBL GO4 BLACK ORANGE,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-SAND,Bluetooth Speaker,Nos,JBL GO4 SAND,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-PINK,Bluetooth Speaker,Nos,JBL GO4 PINK,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-PUR,Bluetooth Speaker,Nos,JBL GO4 PURPLE,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
JBL-GO4-RED,Bluetooth Speaker,Nos,JBL GO4 RED,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,63
