Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Standard Selling Rate,Allow Purchase,Allow Sales,Company (Item Defaults),Default Warehouse (Item Defaults)
boAt-BR330ANC-YEL,Neckband,Nos,boAt Rockerz 330 ANC Neckband Yellow,1,boAt,40,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR330P-BLK,Neckband,Nos,boAt Rockerz 330 Pro Neckband Black,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR330P-BlU,Neckband,Nos,boAt Rockerz 330 Pro Neckband Blue,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR330P-GRN,Neckband,Nos,boAt Rockerz 330 Pro Neckband Green,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR330P-Red,Neckband,Nos,boAt Rockerz 330 Pro Neckband Red,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR330P-YEL,Neckband,Nos,boAt Rockerz 330 Pro Neckband Yellow,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR333ANC-BLK,Neckband,Nos,boAt Rockerz 333 ANC Neckband Black,1,boAt,40,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR410-BLKRED,Neckband,Nos,boAt Rockerz 410 Neckband Black-Red,1,boAt,30,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR410-CBLK,Neckband,Nos,boAt Rockerz 410 Neckband Carbon-Black,1,boAt,30,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR450R-BGE-BRN,Neckband,Nos,boAt Rockerz 450R Neckband Beige Brown,1,boAt,32,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR450R-BLK,Neckband,Nos,boAt Rockerz 450R Neckband Black,1,boAt,32,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-BR450R-BLU,Neckband,Nos,boAt Rockerz 450R Neckband Blue,1,boAt,32,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-de330,PD Cables,Nos,boAt Deuce 330 (2 IN 1) Data Cable,1,boAt,10,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-duQc,Car Charger,Nos,boAt Dual Qc-Pd Port Type C Cable Car Charger,1,boAt,15,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-flRTL-BLK,Smart Watch,Nos,boAt Flash RTL - Non - Calling Black,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-flRT-BLU,Smart Watch,Nos,boAt Flash RTL - Non - Calling Blue,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
