Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Maintain Stock,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
"OFF-RENT","Rent",Nos,1000,"No Brand",0,"OFFICE RENT",ZeroMax Warehouse - ZX,ZEROMAX LLP
"OFF-DEPOSIT","Rent",Nos,2000,"No Brand",0,"OFFICE RENTAL SECURITY DEPOSIT",ZeroMax Warehouse - ZX,ZEROMAX LLP
