Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
AW-P82K-BLK,Power Banks,Nos,8.5,Awei,1,AWEI P82K 10K PowerBank,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-P7K-BLK,Power Banks,Nos,22,Awei,1,AWEI P7K 30K PowerBank,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-P37K-BLK,Power Banks,Nos,8.5,Awei,1,AWEI P37K 10K PowerBank,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-P134K-BLK,Power Banks,Nos,19,Awei,1,AWEI P134K 20K 3in1 PowerBank,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-UK-WN07-WHI,No Packing/Others,Nos,1.2,Awei,1,Travel Adapter - SG/UK 10A Plug Copper White WN07 (10 Pack),ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-UK-WN07-BLK,No Packing/Others,Nos,1.2,Awei,1,Travel Adapter - SG/UK 10A Plug Copper Black WN07 (10 Pack),ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-UK-WN08-BLK,No Packing/Others,Nos,2.6,Awei,1,Travel Adapter - SG/UK 10A Plug Copper+Fuse Black WN08 (10 Pack),ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-UK--WN08-WHI,No Packing/Others,Nos,2.6,Awei,1,Travel Adapter - SG/UK 10A Plug Copper+Fuse White WN08 (10 Pack),ZeroMax Warehouse - ZX,ZEROMAX LLP
