Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
ZXF-0001,Footwear,Nos,2.5,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0001,Stores - ZIX,ZEROMAX IMPEX
ZXF-0002,Footwear,Nos,3.5,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0002,Stores - ZIX,ZEROMAX IMPEX
ZXF-0003,Footwear,Nos,2,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0003,Stores - ZIX,ZEROMAX IMPEX
ZXF-0004,Footwear,Nos,2,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0004,Stores - ZIX,ZEROMAX IMPEX
ZXF-0005,Footwear,Nos,2,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0005,Stores - ZIX,ZEROMAX IMPEX
ZXF-0006,Footwear,Nos,7,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0006,Stores - ZIX,ZEROMAX IMPEX
ZXF-0007,Footwear,Nos,6.5,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0007,Stores - ZIX,ZEROMAX IMPEX
ZXF-0008,Footwear,Nos,6,ZEROMAX,1,ZEROMAX FOOTWEAR ZXF-0008,Stores - ZIX,ZEROMAX IMPEX
