"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","Brand","Allow Purchase","Item Name","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"ZX-UNIV-STAND","No Packing/Others","Nos",1,"No Brand",1,"Universal Foldable Stand","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-Chair-Stent","No Packing/Others","Nos",0.50,"No Brand",1,"Plastic Phone Chair Stent","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-FOLDING-stent","No Packing/Others","Nos",0.50,"No Brand",1,"Plastic Phone Folding Stent","ZeroMax Warehouse - ZX","ZEROMAX LLP"




