Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
"SONY-ER-PT","Earphone",Nos,1.50,"Sony",1,"Sony Ericson Stereo Headset",ZeroMax Warehouse - ZX,ZEROMAX LLP
"MG822-2M","Power Accessories",Nos,6.50,"MGM",1,"MGM 822-2M 2 WAY 3 PIN PLUG SAFETY MARK",ZeroMax Warehouse - ZX,ZEROMAX LLP
"MG832-2M","Power Accessories",Nos,7.50,"MGM",1,"MGM 832-2M 3 WAY 3 PIN PLUG SAFETY MARK",ZeroMax Warehouse - ZX,ZEROMAX LLP
"MG842-2M","Power Accessories",Nos,8.50,"MGM",1,"MGM 842-2M 4 WAY 3 PIN PLUG SAFETY MARK",ZeroMax Warehouse - ZX,ZEROMAX LLP
"MG852-2M","Power Accessories",Nos,9.50,"MGM",1,"MGM 852-2M 5 WAY 3 PIN PLUG SAFETY MARK",ZeroMax Warehouse - ZX,ZEROMAX LLP
