"Item Code","Item Group","Default Unit of Measure","Has Serial No","Allow Purchase","Allow Sales","Brand","Maintain Stock","Standard Selling Rate","Valuation Rate","Item Name","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"OP-UK15-USB-","Wall Charger/Adapter","Nos",0,1,1,"OnePlus",1,10,0,"Oneplus 15W USB Adapter Original Bulk","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"OP-UK65-USBC-","Wall Charger/Adapter","Nos",0,1,1,"OnePlus",1,20,0,"Oneplus 65W USB-C Adapter Original Bulk","ZeroMax Warehouse - ZX","ZEROMAX LLP"
