"Item Code","Item Group","Default Unit of Measure","Allow Purchase","Standard Selling Rate","Barcode","Allow Sales","Item Name","Maintain Stock","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"TWS-M19","TWS","Nos",1,4,"",1,"ZEROMAX M19 TWS",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"LG-EP","No Packing/Others","Nos",1,1,"",1,"LG HEADSET BULK",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-DS-16in","No Packing/Others","Nos",1,4.50,"",1,"Digital Slate 16inch Color",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"G01-BT","No Packing/Others","Nos",1,2,"",1,"G01 Neckband Headset",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"







