"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","Brand","Allow Purchase","Item Name","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"MK-X61","Sound Bar","Nos",10,"Mark",1,"Mark X61 Bluetooth Speaker","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-X62","Sound Bar","Nos",10,"Mark",1,"Mark X62 Bluetooth Speaker","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-YD101S","Neckband","Nos",6.50,"Mark",1,"Mark X61 Bluetooth Speaker","ZeroMax Warehouse - ZX","ZEROMAX LLP"


