Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults),Barcode
MODIZ-S25,"Smart Watch",Nos,25,"MODIZ",1,"Modiz S25 Smart Watch",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402777777 
MODIZ-S25,"Smart Watch",Nos,17,"MODIZ",1,"Modiz S15 Smart Watch",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402777778
