"Item Code","ID (Taxes)","Tax Category (Taxes)"
"SDCZ50C-016G-B35GE","919c0332c7",""
"SDCZ50C-016G-B35BE","f96945098b",""
"SDCZ50-064G-B35","a4e810e41f",""
"SDCZ50-032G-B35","bf9c58e6a3",""
"SDCZ50-016G-B35","d5886a4699",""
"SDCZ50-008G-B35","2d95c6881d",""
"SDCFE-512G-GN4NN","8bfb3ae1f4",""
"SDCFE-256G-GN4NN","9ac0bbc079",""
"SDCFE-128G-GN4NN","0c236f252f",""
"SDCFE-064G-GN4NN","07cf6df8f1",""
"SDCFXSB-128G-G46","9277a38dbf",""
"SDCFXSB-064G-G46","7dafb9cab9",""
"SDCFXSB-032G-G46","e06f875cdb",""
"SDCFXPS-256G-X46","cd063f6e9e",""
"SDCFXPS-128G-X46","8845f638a9",""
"SDCFXPS-064G-X46","c50a2a5edf",""
"SDCFXPS-032G-X46","bc74ae617e",""
"SDSDXPK-128G-GN4IN","31aa966379",""
"SDSDXPK-064G-GN4IN","0a5f3d03ce",""
"SDSDXPK-032G-GN4IN","5cc0bc452d",""
"SDSDXXG-032G-GN4IN","7e0f721d21",""
"SDSDXV5-256G-GNCIN","639fa5d723",""
"SDSDXV5-128G-GNCIN","95234cffc4",""
"SDSDXV6-064G-GNCIN","2dc28dd5c6",""
"SDSDXVE-032G-GNCIN","d4a975345b",""
"SDSDUNR-256G-GN6IN","ab3c3be2b6",""
"SDSDUNR-128G-GN3IN","3061fd2692",""
"SDSDUNR-064G-GN3IN","0db6a46c54",""
"SDSDUNR-032G-GN3IN","8e502fd519",""
"SDSDUNS-016G-GN3IN","1c3a743b1e",""
"SDSDUNC-016G-GN6IN","3331d9c640",""
"SDSQXCZ-1T00-GN6MA","ede5f611eb",""
"SDSQXCZ-512G-GN6MA","b51711ae06",""
"SDSQXCZ-400G-GN6MA","d26c5c2e63",""
"SDSQXCZ-256G-GN6MA","6d12aa202b",""
"SDSQXCY-128G-GN6MA","31830439e8",""
"SDSQXCY-064G-GN6MA","530f938a4c",""
"SDSQXCG-032G-GN6MA","8bb61de0fb",""
"SDSQXAO-128G-GN6ZY","4d92476c50",""
"SDSQXAO-256G-GNCZN","1008df0e6b",""
"SDSQXAO-128G-GNCZN","c95e48928d",""
"SDSQXAT-064G-GNCZN","8de74f29be",""
"SDSQXA1-128G-GN6AA","2e69357ba5",""
"SDSQXA2-064G-GN6AA","0a11770a10",""
"SDSQXA1-256G-GN6GN","cb90f7b80f",""
"SDSQXA1-128G-GN6GN","5aea26a99a",""
"SDSQXA2-064G-GN6GN","b7a941b3ad",""
"SDSQXA1-1T00-GN6MN","5ba7f6902b",""
"SDSQXA1-512G-GN6MN","9544abc294",""
"SDSQXA1-400G-GN6MN","276a862169",""
"SDSQXA1-256G-GN6MN","21e5fe453b",""
"SDSQXA1-128G-GN6MN","8b26ee8053",""
"SDSQXA2-064G-GN6MN","409b21ef73",""
"SDSQXAF-032G-GN6MN","1eb959b43d",""
"SDSQUA4-512G-GN6MN","284f470b7e",""
"SDSQUA4-400G-GN6MN","c905e2074c",""
"SDSQUA4-256G-GN6MN","b7f29a862f",""
"SDSQUAB-128G-GN6MN","dea51acec1",""
"SDSQUA4-064G-GN6MN","0091596b22",""
"SDSQUA4-032G-GN6MN","820c97a44a",""
"SDSQUAR-016G-GN6MN","000d867602",""
"SDSQUNR-128G-GN3MN","95e9b529c6",""
"SDSQUNR-064G-GN3MN","de8353df06",""
"SDSQUNR-032G-GN3MN","0f43c4ac2a",""
"SDSQQVR-256G-GN6IA","017fdc230f",""
"SDSQQVR-128G-GN6IA","6b1f70c051",""
"SDSQQVR-064G-GN6IA","396bd53881",""
"SDSQQNR-256G-GN6IA","90435da99b",""
"SDSQQNR-128G-GN6IA","a996e293b4",""
"SDSQQNR-064G-GN6IA","d88c86fffc",""
"SDSQQNR-032G-GN6IA","5ea8589ada",""
"SDSDQM-032G-B35","04a7770a15",""
"SDSDQM-016G-B35","24a89923ca",""
"SDSDQM-008G-B35","859add6751",""
