Item Code,Price List,Rate,Selling,Buying
SDCFE-064G-GN4NN,Sandisk Jan2024 Selling Price,$132.80,1,0
SDCFE-128G-GN4NN,Sandisk Jan2024 Selling Price,$195.00,1,0
SDCFE-256G-GN4NN,Sandisk Jan2024 Selling Price,$341.10,1,0
SDCFE-512G-GN4NN,Sandisk Jan2024 Selling Price,$537.00,1,0
SDCZ50-008G-B35,Sandisk Jan2024 Selling Price,$4.60,1,0
SDCZ50-016G-B35,Sandisk Jan2024 Selling Price,$4.80,1,0
SDCZ50-032G-B35,Sandisk Jan2024 Selling Price,$5.10,1,0
SDCZ50-064G-B35,Sandisk Jan2024 Selling Price,$6.50,1,0
SDCZ50-128G-B35,Sandisk Jan2024 Selling Price,$12.00,1,0
SDCZ50C-016G-B35BE,Sandisk Jan2024 Selling Price,$4.80,1,0
SDCZ50C-016G-B35GE,Sandisk Jan2024 Selling Price,$4.80,1,0
SDCZ50C-016G-B35PE,Sandisk Jan2024 Selling Price,$4.80,1,0
SDCZ50C-016G-B35W,Sandisk Jan2024 Selling Price,$4.80,1,0
SDCZ60-032G-B35,Sandisk Jan2024 Selling Price,$5.40,1,0
SDCZ60-064G-B35,Sandisk Jan2024 Selling Price,$6.80,1,0
SDCZ60-128G-B35,Sandisk Jan2024 Selling Price,$12.30,1,0
SDCZ600-016G-G35,Sandisk Jan2024 Selling Price,$5.60,1,0
SDCZ600-032G-G35,Sandisk Jan2024 Selling Price,$5.80,1,0
SDCZ600-064G-G35,Sandisk Jan2024 Selling Price,$7.30,1,0
SDCZ600-128G-G35,Sandisk Jan2024 Selling Price,$12.80,1,0
SDCZ600-256G-G35,Sandisk Jan2024 Selling Price,$25.20,1,0
SDCZ430-016G-G46,Sandisk Jan2024 Selling Price,$7.00,1,0
SDCZ430-032G-G46,Sandisk Jan2024 Selling Price,$7.30,1,0
SDCZ430-064G-G46,Sandisk Jan2024 Selling Price,$8.70,1,0
SDCZ430-128G-G46,Sandisk Jan2024 Selling Price,$14.10,1,0
SDCZ430-256G-G46,Sandisk Jan2024 Selling Price,$27.70,1,0
SDCZ430-512G-G46,Sandisk Jan2024 Selling Price,$55.30,1,0
SDCZ48-016G-U46,Sandisk Jan2024 Selling Price,$5.90,1,0
SDCZ48-032G-U46,Sandisk Jan2024 Selling Price,$6.10,1,0
SDCZ48-064G-U46,Sandisk Jan2024 Selling Price,$7.60,1,0
SDCZ48-128G-U46,Sandisk Jan2024 Selling Price,$13.30,1,0
SDCZ48-256G-U46,Sandisk Jan2024 Selling Price,$26.50,1,0
SDCZ48-512G-G46,Sandisk Jan2024 Selling Price,$52.70,1,0
SDCZ73-016G-G46,Sandisk Jan2024 Selling Price,$6.40,1,0
SDCZ73-032G-G46,Sandisk Jan2024 Selling Price,$6.50,1,0
SDCZ73-064G-G46,Sandisk Jan2024 Selling Price,$7.90,1,0
SDCZ73-128G-G46,Sandisk Jan2024 Selling Price,$14.10,1,0
SDCZ73-256G-G46,Sandisk Jan2024 Selling Price,$27.70,1,0
SDCZ73-512G-G46,Sandisk Jan2024 Selling Price,$55.30,1,0
SDCZ74-032G-G46,Sandisk Jan2024 Selling Price,$8.50,1,0
SDCZ74-064G-G46,Sandisk Jan2024 Selling Price,$9.70,1,0
SDCZ74-128G-G46,Sandisk Jan2024 Selling Price,$15.50,1,0
SDCZ74-256G-G46,Sandisk Jan2024 Selling Price,$29.30,1,0
SDCZ74-512G-G46,Sandisk Jan2024 Selling Price,$56.90,1,0
SDCZ96-064G-G46,Sandisk Jan2024 Selling Price,$9.20,1,0
SDCZ96-128G-G46,Sandisk Jan2024 Selling Price,$14.60,1,0
SDCZ96-256G-G46,Sandisk Jan2024 Selling Price,$27.20,1,0
SDCZ96-512G-G46,Sandisk Jan2024 Selling Price,$52.10,1,0
SDCZ480-064G-G46,Sandisk Jan2024 Selling Price,$9.80,1,0
SDCZ480-128G-G46,Sandisk Jan2024 Selling Price,$16.50,1,0
SDCZ480-256G-G46,Sandisk Jan2024 Selling Price,$30.90,1,0
SDCZ75-064G-G46,Sandisk Jan2024 Selling Price,$10.70,1,0
SDCZ75-128G-G46,Sandisk Jan2024 Selling Price,$17.70,1,0
SDCZ75-256G-G46,Sandisk Jan2024 Selling Price,$32.90,1,0
SDCZ810-064G-G46,Sandisk Jan2024 Selling Price,$24.10,1,0
SDCZ810-128G-G46,Sandisk Jan2024 Selling Price,$40.20,1,0
SDCZ810-256G-G46,Sandisk Jan2024 Selling Price,$70.00,1,0
SDCZ880-128G-G46,Sandisk Jan2024 Selling Price,$52.30,1,0
