"Item Code","Item Group","Default Unit of Measure","Allow Purchase","Standard Selling Rate","Barcode","Allow Sales","Item Name","Maintain Stock","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"ZX-CB-NYLON-1M-CTOC","PD Cables","Nos",1,2.50,"",1,"Nylon C TO C Cable 1m",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-CB-NYLON-1M-CTOL","PD Cables","Nos",1,2.50,"",1,"Nylon C TO Lightning Cable 1m",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
