Item Code,Price List,Rate,Selling,Buying
SDCZ96-128G-G46,Standard Selling,$14.60,1,0
SDCZ96-256G-G46,Standard Selling,$27.20,1,0
SDCZ96-512G-G46,Standard Selling,$52.10,1,0
SDCZ480-064G-G46,Standard Selling,$9.80,1,0
SDCZ480-128G-G46,Standard Selling,$16.50,1,0
SDCZ480-256G-G46,Standard Selling,$30.90,1,0
SDCZ75-064G-G46,Standard Selling,$10.70,1,0
SDCZ75-128G-G46,Standard Selling,$17.70,1,0
SDCZ75-256G-G46,Standard Selling,$32.90,1,0
SDCZ810-064G-G46,Standard Selling,$24.10,1,0
SDCZ810-128G-G46,Standard Selling,$40.20,1,0
SDCZ810-256G-G46,Standard Selling,$70.00,1,0
SDCZ880-128G-G46,Standard Selling,$52.30,1,0
SDCZ880-256G-G46,Standard Selling,$84.90,1,0
SDCZ880-512G-G46,Standard Selling,$152.70,1,0
SDCZ880-1T00-G46,Standard Selling,$289.90,1,0
SDDDC2-032G-G46,Standard Selling,$9.90,1,0
SDDDC2-064G-G46,Standard Selling,$11.40,1,0
SDDDC2-128G-G46,Standard Selling,$17.20,1,0
SDDDC2-256G-G46,Standard Selling,$30.40,1,0
SDDDC3-032G-G46,Standard Selling,$9.10,1,0
SDDDC3-064G-G46,Standard Selling,$10.70,1,0
SDDDC3-064G-G46G,Standard Selling,$10.70,1,0
SDDDC3-064G-G46NB,Standard Selling,$10.70,1,0
SDDDC3-064G-G46PC,Standard Selling,$10.70,1,0
SDDDC3-128G-G46,Standard Selling,$16.40,1,0
SDDDC3-128G-G46G,Standard Selling,$16.40,1,0
SDDDC3-128G-G46NB,Standard Selling,$16.40,1,0
SDDDC3-128G-G46PC,Standard Selling,$16.40,1,0
SDDDC3-256G-G46,Standard Selling,$29.60,1,0
SDDDC3-256G-G46G,Standard Selling,$29.60,1,0
SDDDC3-256G-G46NB,Standard Selling,$29.60,1,0
SDDDC3-256G-G46PC,Standard Selling,$29.60,1,0
SDDDC3-512G-G46,Standard Selling,$55.80,1,0
SDDDC4-032G-G46,Standard Selling,$11.60,1,0
SDDDC4-064G-G46,Standard Selling,$13.00,1,0
SDDDC4-128G-G46,Standard Selling,$18.70,1,0
SDDDC4-256G-G46,Standard Selling,$31.90,1,0
SDDDC4-512G-G46,Standard Selling,$63.50,1,0
SDDDC4-1T00-G46,Standard Selling,$126.60,1,0
SDSSDA-240G-G26,Standard Selling,$40.60,1,0
SDSSDA-480G-G26,Standard Selling,$51.00,1,0
SDSSDA-1T00-G27,Standard Selling,$101.50,1,0
SDSSDA-2T00-G26,Standard Selling,$227.20,1,0
SDSSDH3-500G-G26,Standard Selling,$70.10,1,0
SDSSDH3-1T00-G25,Standard Selling,$118.80,1,0
SDSSDH3-2T00-G25,Standard Selling,$245.70,1,0
SDSSDH3-4T00-G25,Standard Selling,$542.10,1,0
SDSSDE30-480G-G25,Standard Selling,$85.80,1,0
SDSSDE30-1T00-G26,Standard Selling,$96.80,1,0
SDSSDE30-2T00-G26,Standard Selling,$168.30,1,0
SDSSDE61-500G-G25,Standard Selling,$110.00,1,0
SDSSDE61-1T00-G25,Standard Selling,$130.90,1,0
