Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
MARSHAL-EMBERTON-BLKBRAS,Speaker,Nos,MARSHALL EMBERTON BLACK AND BRASS,1,Marshall,1,1,1,7340055378055,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,75
MARSHAL-EMBERTON-CREAM,Speaker,Nos,MARSHALL EMBERTON CREAM,1,Marshall,1,1,1,7340055383202,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,75
MARSHAL-EMBERTON-BLACK,Speaker,Nos,MARSHALL EMBERTON BLACK,1,Marshall,1,1,1,7340055355537,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,75
MARSHAL-EMBERTON-FOREST,Speaker,Nos,MARSHALL EMBERTON FOREST,1,Marshall,1,1,1,7340055383172,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,75
