Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
JBL-LIVE660NC-BLK,Wireless/Bluetooth Headset,Nos,JBL LIVE 660NC BLACK,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,150
JBL-LIVE660NC-BLU,Wireless/Bluetooth Headset,Nos,JBL LIVE 660NC BLUE,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,150
JBL-QTM610-BLK,Wireless/Bluetooth Headset,Nos,JBL QUANTUM 610,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,189
JBL-QTM810-BLU,Wireless/Bluetooth Headset,Nos,JBL QUANTUM 810,1,JBL,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,226
