Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
SDSDXVT-032G-GNCIN,Memory Cards,Nos,"SanDisk Extreme SDHC, SDXVT 32GB, V30, U3, C10, UHS-I, 100MB/s R, 60MB/s W, 4x6, Lifetime Limited",1,Sandisk,0,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,9.1
SDSDXV2-064G-GNCIN,Memory Cards,Nos,"SanDisk Extreme SDXC, SDXV2 64GB, V30, U3, C10, UHS-I, 170MB/s R, 80MB/s W, 4x6, Lifetime Limited",1,Sandisk,0,1,1,619659188610,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,13.4
SDSDXVA-128G-GNCIN,Memory Cards,Nos,"SanDisk Extreme SDXC, SDXVA 128GB, V30, U3, C10, UHS-I, 180MB/s R, 90MB/s W, 4x6, Lifetime Limited",1,Sandisk,0,1,1,619659188863,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,24.6
SDSDXVV-256G-GNCIN,Memory Cards,Nos,"SanDisk Extreme SDXC, SDXVA 256GB, V30, U3, C10, UHS-I, 180MB/s R, 90MB/s W, 4x6, Lifetime Limited",1,Sandisk,0,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,81
