Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
BOAT-AD-FUEL-BLK,TWS,Nos,boAt Airdopes Fuel Black,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,36
BOAT-AD-393ANC-BLK,TWS,Nos,boAt Airdopes 393ANC Black,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,67
BOAT-AD-393ANC-GRY,TWS,Nos,boAt Airdopes 393ANC Grey,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,67
BOAT-AD-393ANC-WHI,TWS,Nos,boAt Airdopes 393ANC White,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,67
BOAT-AD-441-BLK,TWS,Nos,boAt Airdopes 441 Black,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,61
BOAT-AD-441-BLU,TWS,Nos,boAt Airdopes 441 Blue,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,61
BOAT-AD-441-PRP,TWS,Nos,boAt Airdopes 441 Purple,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,61
Boat-WAVE-STRIDE,Smart Watch,Nos,boAt Wave STRIDE Voice -Bluetooth Calling,1,boAt,1,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,48
Boat-AV-908,Sound Bar,Nos,BoAt Aavante 908 - 30W Mini Soundbar,1,boAt,0,1,1,,ZEROMAX IMPEX PTE LTD,Stores - ZIPL,85
