"Item Code","Item Group","Default Unit of Measure","Allow Purchase","Standard Selling Rate","Barcode","Allow Sales","Item Name","Maintain Stock","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"ZX-T20ENC","TWS","Nos",1,15,"",1,"Zeromax T20 ENC TWS",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-Z77","Smart Watch","Nos",1,18,"",1,"Zeromax Z77 Smart Watch",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"




