Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
MAR-Action2-BLK,Speaker,Nos,Marshall Action 2 Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,290
MAR-Action2-BRN,Speaker,Nos,Marshall Action 2 Brown,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,290
MAR-Action2-WHI,Speaker,Nos,Marshall Action 2 White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,290
